;Type;;;;;;;Activities;;;;;;Themes;;;Geographical focus;;;;;;;;;;;;;Contact;;;;;;
Name of the Organization;NGO;GO;Private Consultancy;Private Contractor;Private Financing;Private Supplier;Knowledge Institutes;Capacity building;Funding;Implementing;Lobbying;Networking;R & E;Water;Agriculture;Finance;Head Office;Africa;Asia;Europe; Middle East;North America;Central America;South America;Australia;Caribbean;Pacific;Global;Countries;Web Address;ISO2 Head Office;;;;;
3R consortium;x;;;;;;;x;;;;x;;x;x;;Netherlands;;;;;;;;;;;x;;http://www.bebuffered.com/;NL;;;;;
AATF ;x;;;;;;;x;;;;x;;x;x;;Kenya;x;;;;;;;;;;;;http://www.aatf-africa.org/about_aatf/overview/en/;KE;;;;;
Acacia Water ;;;x;;;;;;;;;;;x;;;Netherlands;;;;;;;;;;;x;;http://acaciawater.com/site/;NL;;;;;
Accion;x;;;;;;;;;;;;;;;x;USA;x;x;;;x;x;x;;;;;31 countries;http://www.accion.org/;US;;;;;
ACO Technologies - Rain-Ceptor;;;;;;x;;;;;;;;x;;;UK;;;;;;;;;;;;;http://www.aco.co.uk/product_detail.php?id=74;GB;;;;;
Action for Food Production (AFPRO);x;;;;;;;x;;x;;;;x;x;;India;;x;;;;;;;;;;India;http://www.afpro.org/;IN;;;;;
Africa Foundation;x;;;;;;;;;x;;;;x;;;UK;x;;;;;;;;;;;;http://africafoundation.org/projects/healthcare-and-clean-water;GB;;;;;
African Civil Society Network on Water and Sanitation (ANEW), The ;x;;;;;;;x;;;;x;;x;;;Kenya;x;;;;;;;;;;;African regions;http://www.anewafrica.org/;KE;;;;;
African Microfinance Network (AFMIN) ;;;;;x;;;;;;;;;;;;Benin;x;;;;;;;;;;;;http://www.afminetwork.org/;BJ;;;;;
African Sanitation Knowledge Network, The ;x;;;;;;;;;;;x;;x;;;Mozambique;x;;;;;;;;;;;;http://www.asknet-office.net/;MZ;;;;;
African Water Information System ;x;;;;;;;;;;;x;x;x;;;;x;;;;;;;;;;;;http://www.iowater.org/iowater/our-projects-news-and-update/article/african-water-information-system?lang=en;;;;;;
Agua Solutions;;;x;;;;;;;;;;;x;;;;;;;;;;;;;;x;;http://aguasolutions.com/;;;;;;
AGUATUYA;x;;;;;;;;;x;;;;x;;;Bolivia;;;;;;;x;;;;;Bolivia;http://aguatuya.org/?lang=en;BO;;;;;
Akvo;x;;x;;;;;;;;;x;;x;x;;The Netherlands;x;x;x;x;x;x;x;x;x;x;x;global;http://www.akvo.org/;NL;;;;;
AMCOW;x;;;;;;;x;;;;x;;x;;x;Nigeria;x;;;;;;;;;;;;http://www.amcow-online.org/index.php?lang=en;NG;;;;;
American Rain Water catchment system Association ;x;;;;;;;x;;;;x;;x;;;;;;;;x;;;;;;;North America;http://www.arcsa.org/index.asp;;;;;;
American water works association;x;;;;;;;x;;;;x;x;x;;;US;;;;;x;;;;;;;US;http://www.awwa.org/Resources/index.cfm?navItemNumber=1416;GB;;;;;
Amizade;x;;;;;;;;;;;;;x;;;USA;;;;;;;;;;;x;Tanzania, Mexico, Brazil, etc… 12 countries;http://amizade.org/;US;;;;;
Amsha Africa Foundation - Rainwater H2OG;;;;;;x;;;;;;;;x;;;Kenya;;;;;;;;;;;;Kenya, Zambia, USA;http://www.amshaafrica.org/projects-and-clients/projects-pipeline/rain-water-harvesting.html;KE;;;;;
Aqua fed international;x;;;;;;;x;;;;x;;x;;;Brussels & Paris;;;;;;;;;;;x;;http://www.aquafed.org/   http://www.aquafed.org/geography.html;FR;;;;;
Aqua for all;x;;;;;;;;;;;x;;x;;;Netherlands;x;x;;;;;x;;;;;;http://www.aquaforall.nl/;NL;;;;;
Aqua-Aero WaterSystems;;;;;;x;;;;;;;;x;;;The Netherlands;;;;;;;;;;;;subtropical and tropical regions;http://www.aaws.nl/index.php/products/rain-water-harvesting;NL;;;;;
AquaSanTec - Crestanks Limited;;;;;;x;;;;;;;;x;;;Uganda;;;;;;;;;;;;Kenya, Rwanda, Burundi, Uganda, South Sudan and Ethiopia;http://www.kentainers.com/;UG;;;;;
Association of Arab Office for Youth and the Environment;x;;;;;;;;;;;x;;x;;;Egypt;;;;x;;;;;;;;Egypt,;http://www.aoye.org/profile.htm;EG;;;;;
Ashish Plast;;;;;;x;;;;;;;;x;;;India;;x;;;;;;;;;;India;http://www.ashishabsdoors.com/plastic-storage-tanks.html;IN;;;;;
Asia Pacific Association of Agricultural Research Institutions (APAARI);x;;;;;;;;;;;x;;x;x;;Thailand;;x;;;;;;x;;x;;;http://www.apaari.org/;TH;;;;;
Assemblies of God Relief and Development Services (AGREDS), The;x;;;;;;;;;;;;;x;;x;Ghana;x;;;;;;;;;;;Ghana;http://www.agreds.org/index.php?ui=home#;GH;;;;;
Association for Strengthening Agricultural Research in Eastern and Central Africa (ASARECA);x;x;;;;;;x;;;;;;x;x;;Uganda;x;;;;;;;;;;;Uganda, Kenya, Tanzania, Ethiopia;http://www.asareca.org/;UG;;;;;
Association of Microfinance Institutions of Kenya;x;;;;;;;;x;;;;;;;x;Kenya;x;;;;;;;;;;;53 member institutions in Kenya;http://www.amfikenya.com/index.php;KE;;;;;
AVRDC the world vegetation centre;;;;;;;;;;;;;x;;x;;Taiwan;;;;;;;;;;;x;;http://www.unesco.org/;TW;;;;;
BACKLUND;;;x;;;;;;;;;;;x;;;Denmark;;;;;;;;;;;x;;http://www.backlund.dk/advice.htm;DK;;;;;
Bangladesh Association for Social Advancement (BASA);x;;;;;;;x;;;;x;;x;x;x;Bangladesh;;x;;;;;;;;;;Bangladesh;http://www.basango.org/;BD;;;;;
BIOFORSK;;;;;;;;;;;;;x;;x;;Norway;;;;;;;;;;;x;;http://avrdc.org;NO;;;;;
BioSandFilter.org;x;;;;;;;;;;;;;x;;;UK;;;;;;;;;;;x;;http://www.biosandfilter.org/biosandfilter/;GB;;;;;
Blantyre Water Board;;x;;;;;;;;;;;;;;;Malawi;x;;;;;;;;;;;Malawi;http://www.bwb.mw/;MW;;;;;
Botswana Technology Centre (BOTEC);;x;;;;;;;;;;;;;;;Botswana;x;;;;;;;;;;;Botswana;http://www.botec.bw/;BW;;;;;
Busoga Trust;x;;;;;;;;;x;;;x;x;;;UK;x;;;;;;;;;;;Uganda;http://www.busogatrust.co.uk/;GB;;;;;
Cap-Net;x;;;;;;;x;;;;x;;x;;;South Africa;;;;;;;;;;;x;;http://www.cap-net.org/;ZA;;;;;
CAWST;x;;;;;;;x;;x;;;;x;;;Canada;;;;;;;;;;;;;www.cawst.org;CA;;;;;
Centre for Environment and Development for the Arab region and Europe (CEDARE);x;x;;;;;;x;;;;x;;x;x;;Caro Egypt;;;x;x;;;;;;;;;http://www3.cedare.int/;EG;;;;;
Centre for Science and Environment;x;;;;;;x;x;;;x;;x;x;;;India;;x;;;;;;;;;;India;http://www.cseindia.org/;IN;;;;;
"Centre for Science & Technology of the Non-Aligned and Other Developing Countries (NAM S&T Centre)";x;;;;;;x;;;;;;x;;x;;India;;x;;;;;;;;;x;;http://www.namstct.org/;IN;;;;;
Charity water;x;;;;;;;x;;x;;;;x;;;New York;x;x;;;;x;x;;;;;;http://www.charitywater.org/;US;;;;;
